5
5
0 0 1,6957862282E-001
0 1 1,2230215827E-001
0 2 8,6330935252E-002
0 3 7,3381294964E-001
0 4 7,3278520041E-001
1 0 8,1911613566E-001
1 1 4,4604316547E-001
1 2 9,3936279548E-001
1 3 3,7204522097E-001
1 4 4,4193216855E-002
2 0 3,9568345324E-001
2 1 9,6505652621E-001
2 2 2,9907502569E-001
2 3 6,7420349435E-001
2 4 8,8900308325E-001
3 0 3,8848920863E-001
3 1 4,2034943474E-001
3 2 7,5436793422E-001
3 3 3,0421377184E-001
3 4 7,5128468654E-001
4 0 4,9640287770E-001
4 1 4,1829393628E-001
4 2 5,2106885920E-001
4 3 6,2178828366E-001
4 4 2,5590955807E-001
