5
5
0 0 8,2631038027E-001
0 1 7,8725590956E-001
0 2 6,9886947585E-002
0 3 1,0256937307E+000
0 4 2,4563206578E-001
1 0 2,7132579651E-001
1 1 2,5282631038E-001
1 2 2,8160328880E-001
1 3 9,5580678314E-002
1 4 4,4809866393E-001
2 0 2,4254881809E-001
2 1 1,4388489209E-001
2 2 2,3946557040E-001
2 3 4,8818088386E-001
2 4 7,8931140802E-001
3 0 5,5806783145E-001
3 1 5,3340184995E-001
3 2 2,8263103803E-001
3 3 5,0359712230E-002
3 4 6,0945529291E-001
4 0 4,6659815005E-001
4 1 4,5220966084E-002
4 2 4,9331963001E-001
4 3 6,2589928058E-001
4 4 1,1716341213E-001
